gene	gc
CNBD2	0.4495
CNBP	0.5825
CNDP1	0.501
CNDP2	0.5925
CNEP1R1	0.4945
CNFN	0.582
CNGA1	0.35
CNGA2	0.5355
CNGA3	0.536
CNGA4	0.5095
CNGB1	0.551
CNGB3	0.3565
CNIH1	0.5
CNIH2	0.6755
CNIH3	0.6005
CNIH4	0.5335
CNKSR1	0.5375
CNKSR2	0.669
CNKSR3	0.6005
CNN1	0.567
CNN2	0.6145
CNN3	0.6645
CNNM1	0.586
CNNM2	0.652
CNNM3	0.6985
CNNM4	0.615
CNOT1	0.58
CNOT10	0.423
CNOT11	0.5745
CNOT2	0.54
CNOT3	0.5185
CNOT4	0.55
CNOT6	0.626
CNOT6L	0.703
CNOT7	0.583
CNOT8	0.5915
CNP	0.62
CNPPD1	0.6055
CNPY1	0.5795
CNPY2	0.551
CNPY3	0.5545
CNPY4	0.5425
CNR1	0.371
CNR2	0.53
CNRIP1	0.5545
CNST	0.5595
CNTD1	0.542
CNTD2	0.554
CNTF	0.3965
CNTFR	0.698
CNTLN	0.5545
CNTN1	0.547
CNTN2	0.5875
CNTN3	0.2945
CNTN4	0.3385
CNTN5	0.452
CNTN6	0.3805
CNTNAP1	0.5665
CNTNAP2	0.5815
CNTNAP3	0.4995
CNTNAP3B	0.496
CNTNAP4	0.436
CNTNAP5	0.5385
CNTRL	0.5535
CNTROB	0.587
COA1	0.428
COA3	0.5485
COA4	0.5
COA5	0.562
COA6	0.4805
COA7	0.5255
COASY	0.5935
COBL	0.6835
COBLL1	0.654
COCH	0.6425
COG1	0.6285
COG2	0.5355
COG3	0.515
COG4	0.485
COG5	0.5005
COG6	0.482
COG7	0.5375
COG8	0.575
COIL	0.4965
COL10A1	0.3195
COL11A1	0.513
COL11A2	0.651
COL12A1	0.5835
COL13A1	0.615
COL14A1	0.5645
COL15A1	0.597
COL16A1	0.607
COL17A1	0.419
COL18A1	0.6425
COL19A1	0.4765
COL1A1	0.603
COL1A2	0.5675
COL20A1	0.6475
COL21A1	0.5085
COL22A1	0.5605
COL23A1	0.6225
COL24A1	0.563
COL25A1	0.5885
COL26A1	0.652
COL27A1	0.6505
COL28A1	0.337
COL2A1	0.64
COL3A1	0.3495
COL4A1	0.675
COL4A2	0.6885
COL4A3	0.6335
COL4A3BP	0.537
COL4A4	0.6185
COL4A5	0.431
COL4A6	0.433
COL5A1	0.6825
COL5A2	0.4045
COL5A3	0.594
COL6A1	0.6355
COL6A2	0.752
COL6A3	0.471
COL6A5	0.4575
COL6A6	0.3765
COL7A1	0.6375
COL8A1	0.4795
COL8A2	0.676
COL9A1	0.447
COL9A2	0.634
COL9A3	0.7085
COLCA1	0.348
COLCA2	0.65
COLEC10	0.3875
COLEC11	0.551
COLEC12	0.6425
COLGALT1	0.601
COLGALT2	0.5825
COLQ	0.4605
COMMD1	0.4355
COMMD10	0.499
COMMD2	0.461
COMMD3	0.513
COMMD3-BMI1	0.5155
COMMD4	0.5075
COMMD5	0.55
COMMD6	0.4555
COMMD7	0.591
COMMD8	0.467
COMMD9	0.475
COMP	0.5905
COMT	0.6215
COMTD1	0.637
COPA	0.504
COPB1	0.4725
COPB2	0.535
COPE	0.5445
COPG1	0.5225
COPG2	0.5695
COPRS	0.571
COPS2	0.504
COPS3	0.544
COPS4	0.4955
COPS5	0.477
COPS6	0.556
COPS7A	0.4745
COPS7B	0.5295
COPS8	0.5065
COPZ1	0.5
COPZ2	0.608
COQ10A	0.585
COQ10B	0.516
COQ2	0.505
COQ3	0.4495
COQ4	0.558
COQ5	0.467
COQ6	0.544
COQ7	0.504
COQ9	0.5555
CORIN	0.5505
CORO1A	0.662
CORO1B	0.6125
CORO1C	0.6805
CORO2A	0.5585
CORO2B	0.6815
CORO6	0.608
CORO7	0.649
CORO7-PAM16	0.6515
CORT	0.542
COTL1	0.6385
COX10	0.5175
COX11	0.532
COX14	0.583
COX15	0.516
COX16	0.4635
COX17	0.486
COX18	0.496
COX19	0.6045
COX20	0.556
COX4I1	0.6455
COX4I2	0.5905
COX5A	0.5815
COX5B	0.562
COX6A1	0.5145
COX6A1P2	0.363
COX6A2	0.5645
COX6B1	0.5245
COX6B2	0.6595
COX6C	0.504
COX7A1	0.551
COX7A2	0.361
COX7A2L	0.4285
COX7B	0.473
COX7B2	0.4365
COX7C	0.487
COX8A	0.552
COX8C	0.535
CP	0.327
CPA1	0.614
CPA2	0.3845
CPA3	0.401
CPA4	0.442
CPA5	0.41
CPA6	0.4735
CPAMD8	0.6505
CPB1	0.4185
CPB2	0.374
CPD	0.611
CPE	0.539
CPEB1	0.682
CPEB2	0.722
CPEB3	0.601
CPEB4	0.5355
CPED1	0.4645
CPLX1	0.788
CPLX2	0.584
CPLX3	0.606
CPLX4	0.369
CPM	0.5745
CPN1	0.459
CPN2	0.537
CPNE1	0.4765
CPNE2	0.6845
CPNE3	0.533
CPNE4	0.471
CPNE5	0.6925
CPNE6	0.5415
CPNE7	0.7385
CPNE8	0.5955
CPNE9	0.6065
CPO	0.3565
CPOX	0.5905
CPPED1	0.51
CPQ	0.5485
CPS1	0.3745
CPSF1	0.616
CPSF2	0.5695
CPSF3	0.6185
CPSF3L	0.692
CPSF4	0.6045
CPSF4L	0.5825
CPSF6	0.5855
CPSF7	0.559
CPT1A	0.6855
CPT1B	0.6325
CPT1C	0.6105
CPT2	0.5315
CPVL	0.5785
CPXCR1	0.4485
CPXM1	0.61
CPXM2	0.626
CPZ	0.645
CR1	0.527
CR1L	0.5545
CR2	0.482
CR769776.1	0.537
CRABP1	0.5905
CRABP2	0.627
CRADD	0.47
CRAMP1L	0.6305
CRAT	0.6655
CRB1	0.348
CRB2	0.6295
CRB3	0.595
CRBN	0.467
CRCP	0.5645
CRCT1	0.498
CREB1	0.686
CREB3	0.5935
CREB3L1	0.595
CREB3L2	0.5145
CREB3L3	0.546
CREB3L4	0.543
CREB5	0.3655
CREBBP	0.7515
CREBL2	0.5055
CREBRF	0.6175
CREBZF	0.532
CREG1	0.5655
CREG2	0.605
CRELD1	0.639
CRELD2	0.668
CREM	0.615
CRH	0.4745
CRHBP	0.4815
CRHR1	0.7165
CRHR2	0.559
CRIM1	0.704
CRIP1	0.668
CRIP2	0.659
CRIP3	0.568
CRIPAK	0.373
CRIPT	0.524
CRISP1	0.351
CRISP2	0.4255
CRISP3	0.3005
CRISPLD1	0.51
CRISPLD2	0.584
CRK	0.6425
CRKL	0.621
CRLF1	0.743
CRLF2	0.524
CRLF3	0.5655
CRLS1	0.523
CRMP1	0.6565
CRNKL1	0.3855
CRNN	0.4445
CROCC	0.5805
CROT	0.5
CRP	0.4445
CRTAC1	0.7065
CRTAM	0.4325
CRTAP	0.5555
CRTC1	0.6195
CRTC2	0.5755
CRTC3	0.696
CRX	0.534
CRY1	0.588
CRY2	0.5665
CRYAA	0.6075
CRYAB	0.5605
CRYBA1	0.448
CRYBA2	0.638
CRYBA4	0.503
CRYBB1	0.5445
CRYBB2	0.5055
CRYBB3	0.5205
CRYBG3	0.4975
CRYGA	0.4165
CRYGB	0.4845
CRYGC	0.417
CRYGD	0.446
CRYGN	0.6325
CRYGS	0.358
CRYL1	0.578
CRYM	0.408
CRYZ	0.4925
CRYZL1	0.5305
CS	0.5655
CSAD	0.6055
CSAG1	0.5675
CSDC2	0.56
CSDE1	0.3615
CSE1L	0.559
CSF1	0.623
CSF1R	0.5595
CSF2	0.584
CSF2RA	0.4655
CSF2RB	0.519
CSF3	0.6015
CSF3R	0.524
CSGALNACT1	0.4485
CSGALNACT2	0.5895
CSH1	0.549
CSH2	0.54
CSHL1	0.5595
CSK	0.6525
CSMD1	0.616
CSMD3	0.453
CSN1S1	0.282
CSN2	0.326
CSN3	0.325
CSNK1A1	0.564
CSNK1A1L	0.473
CSNK1D	0.6765
CSNK1E	0.6455
CSNK1G1	0.5435
CSNK1G2	0.7255
CSNK1G3	0.579
CSNK2A1	0.549
CSNK2A2	0.661
CSNK2A3	0.433
CSNK2B	0.5825
CSNK2B-LY6G5B-1181	0.5865
CSPG4	0.622
CSPG5	0.482
CSPP1	0.5375
CSRNP1	0.6775
CSRNP2	0.588
CSRNP3	0.3355
CSRP1	0.4585
CSRP2	0.591
CSRP2BP	0.39
CSRP3	0.4415
CST1	0.524
CST11	0.542
CST2	0.522
CST3	0.6365
CST4	0.5315
CST5	0.5425
CST6	0.5795
CST7	0.5375
CST8	0.4145
CST9	0.517
CST9L	0.458
CSTA	0.3595
CSTB	0.6315
CSTF1	0.534
CSTF2	0.4825
CSTF2T	0.4875
CSTF3	0.453
CSTL1	0.4775
CT45A1	0.53
CT45A2	0.543
CT45A3	0.5435
CT45A4	0.542
CT45A5	0.5435
CT45A6	0.5335
CT47A1	0.5735
CT47A10	0.574
CT47A11	0.574
CT47A12	0.5735
CT47A2	0.5735
CT47A3	0.5735
CT47A4	0.5735
CT47A5	0.5735
CT47A6	0.573
CT47A7	0.5695
CT47A8	0.574
CT47A9	0.574
CT47B1	0.5675
CT55	0.494
CT62	0.6295
CT83	0.413
CTA-299D3.8	0.557
CTAG1A	0.6945
CTAG1B	0.6945
CTAG2	0.6885
CTAGE1	0.437
CTAGE15	0.4005
CTAGE4	0.395
CTAGE5	0.5655
CTAGE6	0.401
CTAGE8	0.395
CTAGE9	0.3935
CTB-102L5.4	0.5695
CTB-129P6.11	0.503
CTB-133G6.1	0.5115
CTB-134H23.2	0.5195
CTB-167G5.5	0.5025
CTB-186H2.3	0.494
CTB-54O9.9	0.6195
CTB-58E17.5	0.6585
CTB-60B18.6	0.589
CTB-78H18.1	0.503
CTB-96E2.2	0.584
CTBP1	0.7665
CTBP2	0.548
CTBS	0.4995
CTC-236F12.4	0.5625
CTC-241N9.1	0.5915
CTC-260F20.3	0.577
CTC-273B12.7	0.4735
CTC-360G5.8	0.577
CTC-429P9.4	0.617
CTC-432M15.3	0.591
CTC-435M10.3	0.5595
CTC-454I21.3	0.4195
CTC-512J12.6	0.4865
CTC-534A2.2	0.4685
CTC-786C10.1	0.639
CTC1	0.563
CTCF	0.689
CTCFL	0.646
CTD-2014B16.3	0.421
CTD-2021H9.3	0.485
CTD-2054N24.2	0.619
CTD-2116N17.1	0.4325
CTD-2117L12.1	0.4475
CTD-2132N18.3	0.5825
CTD-2140B24.4	0.5045
CTD-2144E22.5	0.5425
CTD-2162K18.4	0.485
CTD-2192J16.24	0.584
CTD-2203A3.1	0.3265
CTD-2207O23.12	0.5995
CTD-2207O23.3	0.518
CTD-2210P24.4	0.5375
CTD-2215E18.1	0.4575
CTD-2228K2.5	0.73
CTD-2260A17.2	0.4205
CTD-2267D19.3	0.5185
CTD-2287O16.3	0.36
CTD-2330K9.3	0.625
CTD-2368P22.1	0.5455
CTD-2370N5.3	0.3455
CTD-2410N18.5	0.6305
CTD-2510F5.6	0.4585
CTD-2521M24.10	0.5365
CTD-2545M3.6	0.6755
CTD-2547L24.3	0.504
CTD-2583A14.10	0.5035
CTD-2600O9.1	0.52
CTD-3074O7.11	0.502
CTD-3088G3.8	0.524
CTD-3105H18.16	0.5675
CTD-3193O13.9	0.6775
CTD-3203P2.2	0.4995
CTD-3214H19.16	0.5585
CTDNEP1	0.649
CTDP1	0.6635
CTDSP1	0.684
CTDSP2	0.663
CTDSPL	0.6775
CTDSPL2	0.544
CTF1	0.5885
CTGF	0.572
CTH	0.4665
CTHRC1	0.6105
CTIF	0.6005
CTLA4	0.394
CTNNA1	0.6495
CTNNA2	0.3875
CTNNA3	0.3655
CTNNAL1	0.6085
CTNNB1	0.6435
CTNNBIP1	0.646
CTNNBL1	0.489
CTNND1	0.4205
CTNND2	0.6665
CTNS	0.6375
CTPS1	0.6365
CTPS2	0.586
CTR9	0.4905
CTRB1	0.533
CTRB2	0.6195
CTRC	0.508
CTRL	0.5515
CTSA	0.664
CTSB	0.6625
CTSC	0.494
CTSD	0.6515
CTSE	0.5365
CTSF	0.613
CTSG	0.483
CTSH	0.659
CTSK	0.4085
CTSL	0.5085
CTSO	0.491
CTSS	0.378
CTSV	0.576
CTSW	0.556
CTSZ	0.6785
CTTN	0.667
CTTNBP2	0.5945
CTTNBP2NL	0.531
CTU1	0.5665
CTU2	0.6495
CTXN1	0.729
CTXN2	0.4415
CTXN3	0.419
CUBN	0.3565
CUEDC1	0.6785
CUEDC2	0.572
CUL1	0.707
CUL2	0.451
CUL3	0.6515
CUL4A	0.6995
CUL4B	0.409
CUL5	0.538
CUL7	0.5735
CUL9	0.519
CUTA	0.583
CUTC	0.5225
CUX1	0.766
CUX2	0.6885
CUZD1	0.4405
CWC15	0.465
CWC22	0.4375
CWC25	0.5185
CWC27	0.482
CWF19L1	0.516
CWF19L2	0.4
CWH43	0.572
CX3CL1	0.6
CX3CR1	0.5535
CXADR	0.592
CXCL1	0.5605
CXCL10	0.363
CXCL11	0.3775
CXCL12	0.674
CXCL13	0.373
CXCL14	0.5815
CXCL16	0.6505
CXCL17	0.483
CXCL2	0.537
CXCL3	0.542
CXCL5	0.498
CXCL6	0.48
CXCL9	0.3555
CXCR1	0.485
CXCR2	0.478
CXCR3	0.5465
CXCR4	0.5365
CXCR5	0.476
CXCR6	0.42
CXorf21	0.394
CXorf22	0.4385
CXorf23	0.376
CXorf24	0.5145
CXorf27	0.4685
CXorf28	0.447
CXorf30	0.4115
CXorf31	0.419
CXorf36	0.481
CXorf38	0.557
CXorf40A	0.6525
CXorf40B	0.677
CXorf56	0.41
CXorf57	0.4625
CXorf58	0.521
CXorf64	0.4
CXorf65	0.485
CXorf66	0.405
CXorf67	0.57
CXXC1	0.5555
CXXC11	0.6
CXXC4	0.451
CXXC5	0.663
CYB561	0.68
CYB561A3	0.565
CYB561D1	0.5745
CYB561D2	0.5885
CYB5A	0.598
CYB5B	0.4895
CYB5D1	0.5815
CYB5D2	0.6245
CYB5R1	0.607
CYB5R2	0.581
CYB5R3	0.5745
CYB5R4	0.4735
CYB5RL	0.4715
CYBA	0.6805
CYBB	0.3335
CYBRD1	0.565
CYC1	0.6635
CYCS	0.523
CYFIP1	0.6505
CYFIP2	0.63
CYGB	0.6945
CYHR1	0.6705
CYLC1	0.28
CYLC2	0.2905
CYLD	0.575
CYorf17	0.4765
CYP11A1	0.511
CYP11B1	0.5175
CYP11B2	0.546
CYP17A1	0.5095
CYP19A1	0.483
CYP1A1	0.624
CYP1A2	0.507
CYP1B1	0.6635
CYP20A1	0.582
CYP21A2	0.546
CYP24A1	0.6245
CYP26A1	0.6475
CYP26B1	0.658
CYP26C1	0.6335
CYP27A1	0.544
CYP27B1	0.5355
CYP27C1	0.5305
CYP2A13	0.5535
CYP2A6	0.542
CYP2A7	0.52
CYP2B6	0.466
CYP2C18	0.4075
CYP2C19	0.356
CYP2C8	0.356
CYP2C9	0.38
CYP2D6	0.574
CYP2E1	0.4585
CYP2F1	0.522
CYP2J2	0.4795
CYP2R1	0.537
CYP2S1	0.5685
CYP2U1	0.5815
CYP2W1	0.6695
CYP39A1	0.5045
CYP3A4	0.483
CYP3A43	0.407
CYP3A5	0.4635
CYP3A7	0.4635
CYP46A1	0.657
CYP4A11	0.4625
CYP4A22	0.466
CYP4B1	0.4925
CYP4F11	0.5775
CYP4F12	0.559
CYP4F2	0.509
CYP4F22	0.6135
CYP4F3	0.576
CYP4F31P	0.5565
CYP4V2	0.651
CYP4X1	0.5025
CYP4Z1	0.417
CYP51A1	0.594
CYP7A1	0.323
CYP7B1	0.5185
CYP8B1	0.507
CYR61	0.5955
CYS1	0.6845
CYSLTR1	0.3915
CYSLTR2	0.419
CYSTM1	0.555
CYTH1	0.6825
CYTH2	0.594
CYTH3	0.648
CYTH4	0.503
CYTIP	0.402
CYTL1	0.534
CYYR1	0.446
D2HGDH	0.697
DAAM1	0.3955
DAAM2	0.5675
DAB1	0.6545
DAB2	0.474
DAB2IP	0.584
DACH1	0.5435
DACH2	0.562
DACT1	0.638
DACT2	0.6085
DACT3	0.6205
DAD1	0.4785
DAG1	0.632
DAGLA	0.6425
DAGLB	0.549
DAK	0.595
DALRD3	0.612
DAND5	0.5515
DAO	0.5275
DAOA	0.385
DAP	0.605
DAP3	0.6125
DAPK1	0.6205
DAPK2	0.4525
DAPK3	0.59
DAPL1	0.418
DAPP1	0.4595
DARC	0.567
DARS	0.5305
DARS2	0.499
DAW1	0.464
DAXX	0.567
DAZ1	0.5575
DAZ2	0.5575
DAZ3	0.5575
DAZ4	0.561
DAZAP1	0.704
DAZAP2	0.557
DAZL	0.555
DBF4	0.5785
DBF4B	0.491
DBH	0.5905
DBI	0.6115
DBN1	0.719
DBNDD1	0.568
DBNDD2	0.582
DBNL	0.5785
DBP	0.6225
DBR1	0.476
DBT	0.464
DBX1	0.5275
DBX2	0.607
DCAF10	0.607
DCAF11	0.5935
DCAF12	0.5845
DCAF12L1	0.6075
DCAF12L2	0.6425
DCAF13	0.497
DCAF15	0.616
DCAF16	0.5525
DCAF17	0.561
DCAF4	0.594
DCAF4L1	0.5275
DCAF4L2	0.492
DCAF5	0.639
DCAF6	0.613
DCAF7	0.5725
DCAF8	0.5115
DCAF8L1	0.486
DCAF8L2	0.331
DCAKD	0.563
DCBLD1	0.6305
DCBLD2	0.5955
DCC	0.5165
DCD	0.5005
DCDC1	0.453
DCDC2	0.4345
DCDC2B	0.525
DCDC2C	0.7005
DCHS1	0.6485
DCHS2	0.3705
DCK	0.559
DCLK1	0.629
DCLK2	0.6685
DCLK3	0.4235
DCLRE1A	0.4905
DCLRE1B	0.5595
DCLRE1C	0.516
DCN	0.344
DCP1A	0.559
DCP1B	0.491
DCP2	0.53
DCPS	0.5045
DCST1	0.581
DCST2	0.581
DCSTAMP	0.459
DCT	0.446
DCTD	0.6435
DCTN1	0.53
DCTN2	0.5085
DCTN3	0.529
DCTN4	0.502
DCTN5	0.546
DCTN6	0.535
DCTPP1	0.5515
DCUN1D1	0.6485
DCUN1D2	0.7075
DCUN1D3	0.601
DCUN1D4	0.642
DCUN1D5	0.5205
DCX	0.4575
DCXR	0.602
DDA1	0.5845
DDAH1	0.612
DDAH2	0.6135
DDB1	0.599
DDB2	0.548
DDC	0.4705
DDC8	0.5725
DDHD1	0.648
DDHD2	0.6125
DDI1	0.5085
DDI2	0.5595
DDIT3	0.589
DDIT4	0.6445
DDIT4L	0.557
DDN	0.6385
DDO	0.4985
DDOST	0.573
DDR1	0.671
DDR2	0.46
DDRGK1	0.567
DDT	0.5995
DDTL	0.6075
DDX1	0.5325
DDX10	0.499
DDX11	0.5475
DDX17	0.604
DDX18	0.448
DDX19A	0.496
DDX19B	0.4985
DDX20	0.552
DDX21	0.5355
DDX23	0.514
DDX24	0.519
DDX25	0.541
DDX26B	0.554
DDX27	0.5085
DDX28	0.521
DDX31	0.647
DDX39A	0.5605
DDX39B	0.5145
DDX3X	0.5865
DDX3Y	0.504
DDX4	0.513
DDX41	0.5865
DDX42	0.5935
DDX43	0.512
DDX46	0.51
DDX47	0.4805
DDX49	0.548
DDX5	0.617
DDX50	0.529
DDX51	0.6975
DDX52	0.4345
DDX53	0.44
DDX54	0.6115
DDX55	0.5905
DDX56	0.55
DDX58	0.4425
DDX59	0.5395
DDX6	0.652
DDX60	0.4375
DDX60L	0.475
DEAF1	0.694
DEC1	0.4115
DECR1	0.5375
DECR2	0.6275
DEDD	0.572
DEDD2	0.546
DEF6	0.5665
DEF8	0.7085
DEFA1	0.452
DEFA1B	0.45
DEFA3	0.45
DEFA4	0.4675
DEFA5	0.4
DEFA6	0.4375
DEFB1	0.547
DEFB103A	0.464
DEFB103B	0.463
DEFB104A	0.437
DEFB104B	0.4335
DEFB105A	0.399
DEFB105B	0.3995
DEFB106A	0.433
DEFB106B	0.4345
DEFB107A	0.3715
DEFB107B	0.3705
DEFB108B	0.3945
DEFB110	0.346
DEFB112	0.325
DEFB113	0.328
DEFB114	0.281
DEFB115	0.4575
DEFB116	0.408
DEFB118	0.458
DEFB119	0.4495
DEFB121	0.458
DEFB123	0.524
DEFB124	0.515
DEFB125	0.3855
DEFB126	0.3785
DEFB127	0.3905
DEFB128	0.399
DEFB129	0.4475
DEFB130	0.403
DEFB131	0.381
DEFB132	0.425
DEFB133	0.388
DEFB134	0.364
DEFB135	0.4485
DEFB136	0.4955
DEFB4A	0.484
DEFB4B	0.478
DEGS1	0.612
DEGS2	0.654
DEK	0.6155
DENND1A	0.6275
DENND1B	0.586
DENND1C	0.5645
DENND2A	0.6865
DENND2C	0.5455
DENND2D	0.519
DENND3	0.6715
DENND4A	0.58
DENND4B	0.6495
DENND4C	0.6205
DENND5A	0.613
DENND5B	0.6695
DENND6A	0.5475
DENND6B	0.675
DENR	0.552
DEPDC1	0.504
DEPDC1B	0.539
DEPDC4	0.5575
DEPDC5	0.4985
DEPDC7	0.5565
DEPTOR	0.564
DERA	0.4625
DERL1	0.5455
DERL2	0.5535
DERL3	0.623
DES	0.644
DESI1	0.611
DESI2	0.59
DET1	0.4915
DEXI	0.609
DFFA	0.501
DFFB	0.651
DFNA5	0.579
DFNB31	0.6635
DFNB59	0.624
DGAT1	0.6875
DGAT2	0.609
DGAT2L6	0.4765
DGCR14	0.518
DGCR2	0.659
DGCR6	0.621
DGCR6L	0.6485
DGCR8	0.637
DGKA	0.5045
DGKB	0.4555
DGKD	0.681
DGKE	0.724
DGKG	0.5725
DGKH	0.669
DGKI	0.6375
DGKQ	0.7515
DGKZ	0.5995
DGUOK	0.443
DHCR24	0.6185
DHCR7	0.6255
DHDDS	0.505
DHDH	0.4985
DHFR	0.5575
DHFRL1	0.4785
DHH	0.5695
DHODH	0.535
DHPS	0.5465
DHRS1	0.5875
DHRS11	0.5905
DHRS12	0.5895
DHRS13	0.6045
DHRS2	0.5045
DHRS3	0.5895
DHRS4	0.545
DHRS4-AS1	0.36
DHRS4L2	0.5375
DHRS7	0.427
DHRS7B	0.4755
DHRS7C	0.4815
DHRS9	0.3775
DHRSX	0.7
DHTKD1	0.575
DHX15	0.585
DHX16	0.528
DHX29	0.5075
DHX30	0.6145
DHX32	0.386
DHX33	0.5375
DHX34	0.535
DHX35	0.521
DHX36	0.4575
DHX37	0.5265
DHX38	0.5255
DHX40	0.5085
DHX57	0.511
DHX58	0.596
DHX8	0.527
DHX9	0.5815
DIABLO	0.538
DIAPH1	0.56
DIAPH2	0.5525
DIAPH3	0.5035
DICER1	0.6015
DIDO1	0.641
DIEXF	0.519
DIMT1	0.513
DIO1	0.4945
DIO2	0.4375
DIO3	0.7395
DIP2A	0.7005
DIP2B	0.5725
DIP2C	0.7255
DIRAS1	0.7255
DIRAS2	0.444
DIRAS3	0.48
DIRC1	0.3115
DIRC2	0.5645
DIRC3	0.483
DIS3	0.4935
DIS3L	0.588
DIS3L2	0.592
DISC1	0.594
DISP1	0.328
DISP2	0.635
DIXDC1	0.543
DKC1	0.5745
DKFZP434A062	0.628
DKFZP434E1119	0.6175
DKFZP434H0512	0.5155
DKFZP434O1614	0.4185
DKFZP547L112	0.602
DKFZP667F0711	0.4665
DKFZP761J1410	0.611
DKFZP761K2322	0.471
DKFZP779J2370	0.4555
DKFZP779L1853	0.517
DKK1	0.567
DKK2	0.5615
DKK3	0.6745
DKK4	0.422
DKKL1	0.574
DLAT	0.513
DLC1	0.3905
DLD	0.5015
DLEC1	0.5085
DLEU1	0.547
DLEU2L	0.379
DLEU7	0.5945
DLG1	0.635
DLG2	0.439
DLG3	0.6255
DLG4	0.6035
DLG5	0.6995
DLGAP1	0.633
DLGAP2	0.488
DLGAP3	0.72
DLGAP4	0.7015
DLGAP5	0.4685
DLK1	0.6375
DLK2	0.526
DLL1	0.7015
DLL3	0.5955
DLL4	0.6655
DLST	0.5645
DLX1	0.6255
DLX2	0.563
DLX3	0.55
DLX4	0.6405
DLX5	0.5305
DLX6	0.5595
DMAP1	0.5295
DMBT1	0.4305
DMBX1	0.504
DMC1	0.5685
DMD	0.33
DMGDH	0.55
DMKN	0.6165
DMP1	0.36
DMPK	0.5995
DMRT1	0.587
DMRT2	0.498
DMRT3	0.668
DMRTA1	0.5445
DMRTA2	0.603
DMRTB1	0.541
DMRTC1	0.5245
DMRTC1B	0.567
DMRTC2	0.5705
DMTF1	0.5325
DMTN	0.59
DMWD	0.6025
DMXL1	0.516
DMXL2	0.5765
DNA2	0.5
DNAAF1	0.63
DNAAF2	0.619
DNAAF3	0.5535
DNAH1	0.5225
DNAH10	0.6005
DNAH10OS	0.533
DNAH11	0.549
DNAH12	0.4545
DNAH14	0.466
DNAH17	0.5165
DNAH17-AS1	0.552
DNAH2	0.6045
DNAH3	0.5605
DNAH5	0.415
DNAH6	0.4405
DNAH7	0.49
DNAH8	0.433
DNAH9	0.551
DNAI1	0.6145
DNAI2	0.526
DNAJA1	0.599
DNAJA2	0.579
DNAJA3	0.5565
DNAJA4	0.644
DNAJB1	0.6555
DNAJB11	0.511
DNAJB12	0.5525
DNAJB13	0.478
DNAJB14	0.572
DNAJB2	0.5815
DNAJB4	0.341
DNAJB5	0.6255
DNAJB6	0.629
DNAJB7	0.3945
DNAJB8	0.5635
DNAJB9	0.5465
DNAJC1	0.5625
DNAJC10	0.516
DNAJC11	0.595
DNAJC12	0.364
DNAJC13	0.5535
DNAJC14	0.5765
DNAJC15	0.5075
DNAJC16	0.5035
DNAJC17	0.565
DNAJC18	0.538
DNAJC19	0.4615
DNAJC2	0.4575
DNAJC21	0.574
DNAJC22	0.6355
DNAJC24	0.4545
DNAJC25	0.5565
DNAJC25-GNG10	0.5555
DNAJC27	0.5565
DNAJC28	0.516
DNAJC3	0.609
DNAJC30	0.605
DNAJC4	0.607
DNAJC5	0.6325
DNAJC5B	0.487
DNAJC5G	0.5155
DNAJC6	0.555
DNAJC7	0.565
DNAJC8	0.5075
DNAJC9	0.4005
DNAL1	0.4845
DNAL4	0.5035
DNALI1	0.5395
DNASE1	0.557
DNASE1L1	0.633
DNASE1L2	0.6635
DNASE1L3	0.4605
DNASE2	0.5645
DNASE2B	0.4155
DND1	0.591
DNER	0.717
DNHD1	0.542
DNLZ	0.6735
DNM1	0.6235
DNM1L	0.57
DNM2	0.607
DNM3	0.62
DNMBP	0.5635
DNMT1	0.582
DNMT3A	0.711
DNMT3B	0.6645
DNMT3L	0.664
DNPEP	0.6775
DNPH1	0.5875
DNTT	0.4285
DNTTIP1	0.5595
DNTTIP2	0.4685
DOC2A	0.6985
DOC2B	0.7205
DOCK1	0.6835
DOCK10	0.621
DOCK11	0.6785
DOCK2	0.5805
DOCK3	0.5945
DOCK4	0.6165
DOCK5	0.663
DOCK6	0.6705
DOCK7	0.587
DOCK8	0.575
DOCK9	0.4265
DOHH	0.5485
DOK1	0.6535
DOK2	0.502
DOK3	0.6105
DOK4	0.63
DOK5	0.584
DOK6	0.6495
DOK7	0.6935
DOLK	0.616
DOLPP1	0.5995
DONSON	0.582
DOPEY1	0.4925
DOPEY2	0.407
DOT1L	0.6625
DPAGT1	0.618
DPCD	0.5485
DPCR1	0.548
DPEP1	0.6495
DPEP2	0.5035
DPEP3	0.568
DPF1	0.5705
DPF2	0.5455
DPF3	0.5775
DPH1	0.574
DPH2	0.529
DPH3	0.519
DPH5	0.4775
DPH6	0.52
DPH7	0.6145
DPM1	0.5465
DPM2	0.579
DPM3	0.5365
DPP10	0.6645
DPP3	0.595
DPP4	0.5535
DPP6	0.662
DPP7	0.734
DPP8	0.519
DPP9	0.597
DPPA2	0.4855
DPPA3	0.4145
DPPA4	0.4435
DPPA5	0.57
DPRX	0.507
DPT	0.443
DPY19L1	0.618
DPY19L2	0.5745
DPY19L3	0.6215
DPY19L4	0.5215
DPY30	0.4655
DPYD	0.514
DPYS	0.5335
DPYSL2	0.6375
DPYSL3	0.581
DPYSL4	0.75
DPYSL5	0.6745
DQX1	0.5245
DR1	0.555
DRAM1	0.6025
DRAM2	0.5525
DRAP1	0.695
