CHR	TSS	Gene-Symbol	Category	Strand	TS_ID	bigCategory	ID	DukeUq	RepeatMaskerFrac	geneGC
chr1	197036397	F13B	WGS	-1	F13B	WGS	chr1_197035397_197037397	0.978167	0.307	0.3355
chr1	197115824	ASPM	WGS	-1	ASPM	WGS	chr1_197114824_197116824	0.927458	0.3725	0.495
chr1	197169672	ZBTB41	WGS	-1	ZBTB41	WGS	chr1_197168672_197170672	1	0.0235	0.47
chr1	197237408	CRB1	WGS	1	CRB1	WGS	chr1_197236408_197238408	1	0.012	0.348
chr1	197744455	DENND1B	WGS	-1	DENND1B	WGS	chr1_197743455_197745455	1	0.072	0.586
chr1	197871777	C1orf53	WGS	1	C1orf53	WGS	chr1_197870777_197872777	1	0.021	0.5185
chr1	197886529	LHX9	WGS	1	LHX9	WGS	chr1_197885529_197887529	0.991167	0.0245	0.5485
chr1	198126093	NEK7	WGS	1	NEK7	WGS	chr1_198125093_198127093	1	0.1335	0.5755
chr1	198510075	ATP6V1G3	WGS	-1	ATP6V1G3	WGS	chr1_198509075_198511075	0.995875	0.452	0.357
chr1	198608170	PTPRC	WGS	1	PTPRC	WGS	chr1_198607170_198609170	1	0.095	0.322
chr1	199996730	NR5A2	WGS	1	NR5A2	WGS	chr1_199995730_199997730	0.904833	0.167	0.3585
chr1	200379184	ZNF281	WGS	-1	ZNF281	WGS	chr1_200378184_200380184	1	0.091	0.56
chr1	200589862	KIF14	WGS	-1	KIF14	WGS	chr1_200588862_200590862	0.925417	0.2765	0.4675
chr1	200639097	DDX59	WGS	-1	DDX59	WGS	chr1_200638097_200640097	0.9985	0.23	0.5395
chr1	200708686	CAMSAP2	WGS	1	CAMSAP2	WGS	chr1_200707686_200709686	1	0.0455	0.599
chr1	200842083	GPR25	WGS	1	GPR25	WGS	chr1_200841083_200843083	1	0.05	0.6425
chr1	200863949	C1orf106	WGS	1	C1orf106	WGS	chr1_200862949_200864949	1	0.0235	0.5645
chr1	200992828	KIF21B	WGS	-1	KIF21B	WGS	chr1_200991828_200993828	1	0.1795	0.643
chr1	201081694	CACNA1S	WGS	-1	CACNA1S	WGS	chr1_201080694_201082694	0.965417	0.2335	0.57
chr1	201096312	ASCL5	WGS	-1	ASCL5	WGS	chr1_201095312_201097312	1	0.3685	0.563
chr1	201123568	TMEM9	WGS	-1	TMEM9	WGS	chr1_201122568_201124568	1	0.149	0.5685
chr1	201159953	IGFN1	WGS	1	IGFN1	WGS	chr1_201158953_201160953	1	0.054	0.5245
chr1	201252580	PKP1	WGS	1	PKP1	WGS	chr1_201251580_201253580	1	0.1005	0.588
chr1	201346890	TNNT2	WGS	-1	TNNT2	WGS	chr1_201345890_201347890	0.9975	0.117	0.555
chr1	201368736	LAD1	WGS	-1	LAD1	WGS	chr1_201367736_201369736	1	0.0295	0.634
chr1	201390874	TNNI1	WGS	-1	TNNI1	WGS	chr1_201389874_201391874	0.987	0.0225	0.557
chr1	201438312	PHLDA3	WGS	-1	PHLDA3	WGS	chr1_201437312_201439312	1	0.088	0.662
chr1	201478584	CSRP1	WGS	-1	CSRP1	WGS	chr1_201477584_201479584	0.996	0.2495	0.4585
chr1	201592013	AC096677.1	WGS	1	AC096677.1	WGS	chr1_201591013_201593013	1	0.0775	0.563
chr1	201617377	NAV1	WGS	1	NAV1	WGS	chr1_201616377_201618377	1	0.196	0.629
chr1	201798269	IPO9	WGS	1	IPO9	WGS	chr1_201797269_201799269	0.981042	0.1255	0.5215
chr1	201857836	SHISA4	WGS	1	SHISA4	WGS	chr1_201856836_201858836	1	0.1225	0.628
chr1	201915715	LMOD1	WGS	-1	LMOD1	WGS	chr1_201914715_201916715	0.98825	0.025	0.5165
chr1	201924619	TIMM17A	WGS	1	TIMM17A	WGS	chr1_201923619_201925619	0.928542	0.271	0.5025
chr1	201951752	RNPEP	WGS	1	RNPEP	WGS	chr1_201950752_201952752	1	0.263	0.586
chr1	201977073	ELF3	WGS	1	ELF3	WGS	chr1_201976073_201978073	0.938167	0.1385	0.5185
chr1	202091986	GPR37L1	WGS	1	GPR37L1	WGS	chr1_202090986_202092986	0.924792	0.365	0.561
chr1	202113869	ARL8A	WGS	-1	ARL8A	WGS	chr1_202112869_202114869	1	0.1275	0.651
chr1	202130709	PTPN7	WGS	-1	PTPN7	WGS	chr1_202129709_202131709	1	0.0375	0.6145
chr1	202163029	LGR6	WGS	1	LGR6	WGS	chr1_202162029_202164029	0.9135	0.104	0.6415
chr1	202311108	UBE2T	WGS	-1	UBE2T	WGS	chr1_202310108_202312108	0.723458	0.4875	0.4955
chr1	202317827	PPP1R12B	WGS	1	PPP1R12B	WGS	chr1_202316827_202318827	0.975875	0.153	0.4985
chr1	202612581	SYT2	WGS	-1	SYT2	WGS	chr1_202611581_202613581	0.870333	0.0395	0.6635
chr1	202778598	KDM5B	WGS	-1	KDM5B	WGS	chr1_202777598_202779598	1	0.489	0.4485
chr1	202789394	RP11-480I12.4	WGS	1	RP11-480I12.4	WGS	chr1_202788394_202790394	0.803333	0.6775	0.5005
chr1	202858263	RABIF	WGS	-1	RABIF	WGS	chr1_202857263_202859263	1	0.087	0.5255
chr1	202896390	KLHL12	WGS	-1	KLHL12	WGS	chr1_202895390_202897390	0.850375	0.431	0.543
chr1	202927517	ADIPOR1	WGS	-1	ADIPOR1	WGS	chr1_202926517_202928517	0.99675	0.254	0.5645
chr1	202936408	CYB5R1	WGS	-1	CYB5R1	WGS	chr1_202935408_202937408	0.968292	0.25	0.607
chr1	202976514	TMEM183A	WGS	1	TMEM183A	WGS	chr1_202975514_202977514	0.846667	0.251	0.5265
chr1	203020311	PPFIA4	WGS	1	PPFIA4	WGS	chr1_203019311_203021311	1	0.186	0.5305
chr1	203055164	MYOG	WGS	-1	MYOG	WGS	chr1_203054164_203056164	1	0.028	0.573
chr1	203096193	ADORA1	WGS	1	ADORA1	WGS	chr1_203095193_203097193	1	0.198	0.5675
chr1	203144941	MYBPH	WGS	-1	MYBPH	WGS	chr1_203143941_203145941	1	0.0825	0.5895
chr1	203155877	CHI3L1	WGS	-1	CHI3L1	WGS	chr1_203154877_203156877	0.998167	0.1085	0.524
chr1	203198799	CHIT1	WGS	-1	CHIT1	WGS	chr1_203197799_203199799	0.897125	0.3135	0.5
chr1	203274664	BTG2	WGS	1	BTG2	WGS	chr1_203273664_203275664	1	0.158	0.6075
chr1	203320617	FMOD	WGS	-1	FMOD	WGS	chr1_203319617_203321617	0.903917	0.3195	0.4965
chr1	203444956	PRELP	WGS	1	PRELP	WGS	chr1_203443956_203445956	0.992292	0.0635	0.491
chr1	203463271	OPTC	WGS	1	OPTC	WGS	chr1_203462271_203464271	0.98275	0.275	0.4685
chr1	203595689	ATP2B4	WGS	1	ATP2B4	WGS	chr1_203594689_203596689	0.986333	0.1695	0.4855
chr1	203734304	LAX1	WGS	1	LAX1	WGS	chr1_203733304_203735304	1	0.024	0.483
chr1	203768463	ZC3H11A	WGS	1	ZC3H11A	WGS	chr1_203767463_203769463	1	0	0.422
chr1	203765437	ZBED6	WGS	1	ZBED6	WGS	chr1_203764437_203766437	0.951	0.0975	0.4955
chr1	203830743	SNRPE	WGS	1	SNRPE	WGS	chr1_203829743_203831743	0.886542	0.2185	0.504
chr1	204042732	SOX13	WGS	1	SOX13	WGS	chr1_204041732_204043732	0.967708	0.12	0.6585
chr1	204121131	ETNK2	WGS	-1	ETNK2	WGS	chr1_204120131_204122131	1	0.1065	0.692
chr1	204135450	REN	WGS	-1	REN	WGS	chr1_204134450_204136450	0.851083	0.5645	0.504
chr1	204165614	KISS1	WGS	-1	KISS1	WGS	chr1_204164614_204166614	0.990583	0.209	0.55
chr1	204183220	GOLT1A	WGS	-1	GOLT1A	WGS	chr1_204182220_204184220	0.954958	0.2785	0.529
chr1	204329044	PLEKHA6	WGS	-1	PLEKHA6	WGS	chr1_204328044_204330044	0.985	0.0275	0.5675
chr1	204380919	PPP1R15B	WGS	-1	PPP1R15B	WGS	chr1_204379919_204381919	0.947417	0.233	0.576
chr1	204459552	PIK3C2B	WGS	-1	PIK3C2B	WGS	chr1_204458552_204460552	0.899417	0.4805	0.4525
chr1	204485511	MDM4	WGS	1	MDM4	WGS	chr1_204484511_204486511	0.84575	0.5565	0.5335
chr1	204591333	LRRN2	WGS	-1	LRRN2	WGS	chr1_204590333_204592333	1	0.259	0.517
chr1	204797782	NFASC	WGS	1	NFASC	WGS	chr1_204796782_204798782	1	0.232	0.5785
chr1	205012325	CNTN2	WGS	1	CNTN2	WGS	chr1_205011325_205013325	1	0.112	0.5875
chr1	205053645	TMEM81	WGS	-1	TMEM81	WGS	chr1_205052645_205054645	0.96775	0.226	0.4415
chr1	205091143	RBBP5	WGS	-1	RBBP5	WGS	chr1_205090143_205092143	1	0.151	0.465
chr1	205180694	DSTYK	WGS	-1	DSTYK	WGS	chr1_205179694_205181694	1	0.0375	0.5815
chr1	205197304	TMCC2	WGS	1	TMCC2	WGS	chr1_205196304_205198304	0.98475	0.1065	0.5845
chr1	205290883	NUAK2	WGS	-1	NUAK2	WGS	chr1_205289883_205291883	0.965833	0.1185	0.554
chr1	205326166	KLHDC8A	WGS	-1	KLHDC8A	WGS	chr1_205325166_205327166	0.9995	0.25	0.493
chr1	205391182	LEMD1	WGS	-1	LEMD1	WGS	chr1_205390182_205392182	1	0.151	0.373
chr1	205473726	CDK18	WGS	1	CDK18	WGS	chr1_205472726_205474726	1	0.11	0.5875
chr1	205538105	MFSD4	WGS	1	MFSD4	WGS	chr1_205537105_205539105	1	0.2045	0.6515
chr1	205601090	ELK4	WGS	-1	ELK4	WGS	chr1_205600090_205602090	1	0.2335	0.6045
chr1	205649587	SLC45A3	WGS	-1	SLC45A3	WGS	chr1_205648587_205650587	0.990333	0.1275	0.6235
chr1	205719404	NUCKS1	WGS	-1	NUCKS1	WGS	chr1_205718404_205720404	0.98825	0.135	0.5735
chr1	205682497	AC119673.1	WGS	1	AC119673.1	WGS	chr1_205681497_205683497	0.88525	0.0895	0.3675
chr1	205744574	RAB7L1	WGS	-1	RAB7L1	WGS	chr1_205743574_205745574	1	0.071	0.5085
chr1	205782304	SLC41A1	WGS	-1	SLC41A1	WGS	chr1_205781304_205783304	1	0	0.623
chr1	205819245	PM20D1	WGS	-1	PM20D1	WGS	chr1_205818245_205820245	0.999	0.08	0.458
chr1	205912588	SLC26A9	WGS	-1	SLC26A9	WGS	chr1_205911588_205913588	1	0.0185	0.5665
chr1	206138457	FAM72A	WGS	1	FAM72A	WGS	chr1_206137457_206139457	0.447417	0	0.571
chr1	206223976	AVPR1B	WGS	1	AVPR1B	WGS	chr1_206222976_206224976	1	0.04	0.6125
chr1	206288647	C1orf186	WGS	-1	C1orf186	WGS	chr1_206287647_206289647	0.702208	0.8155	0.4735
chr1	206317459	CTSE	WGS	1	CTSE	WGS	chr1_206316459_206318459	0.989583	0.192	0.5365
chr1	206516200	SRGAP2	WGS	1	SRGAP2	WGS	chr1_206515200_206517200	0.570125	0.2715	0.4
chr1	206643791	IKBKE	WGS	1	IKBKE	WGS	chr1_206642791_206644791	1	0	0.576
chr1	206671061	C1orf147	WGS	-1	C1orf147	WGS	chr1_206670061_206672061	0.960167	0.1995	0.509
chr1	206680879	RASSF5	WGS	1	RASSF5	WGS	chr1_206679879_206681879	0.99325	0.042	0.6565
chr1	206785904	EIF2D	WGS	-1	EIF2D	WGS	chr1_206784904_206786904	0.855667	0.3565	0.5235
chr1	206808881	DYRK3	WGS	1	DYRK3	WGS	chr1_206807881_206809881	1	0	0.5545
chr1	206858382	MAPKAPK2	WGS	1	MAPKAPK2	WGS	chr1_206857382_206859382	1	0.2675	0.641
chr1	206945839	IL10	WGS	-1	IL10	WGS	chr1_206944839_206946839	1	0.1695	0.4575
chr1	206972215	IL19	WGS	1	IL19	WGS	chr1_206971215_206973215	0.996917	0.2085	0.4945
chr1	207038699	IL20	WGS	1	IL20	WGS	chr1_207037699_207039699	1	0.175	0.4305
chr1	207070788	IL24	WGS	1	IL24	WGS	chr1_207069788_207071788	0.926833	0.2845	0.481
chr1	207095343	FAIM3	WGS	-1	FAIM3	WGS	chr1_207094343_207096343	0.9615	0.2795	0.4805
chr1	207119811	PIGR	WGS	-1	PIGR	WGS	chr1_207118811_207120811	1	0.166	0.5055
chr1	207143945	FCAMR	WGS	-1	FCAMR	WGS	chr1_207142945_207144945	1	0.2555	0.475
chr1	207206092	C1orf116	WGS	-1	C1orf116	WGS	chr1_207205092_207207092	1	0	0.4485
chr1	207224422	YOD1	WGS	-1	YOD1	WGS	chr1_207223422_207225422	1	0.103	0.4945
chr1	207226605	PFKFB2	WGS	1	PFKFB2	WGS	chr1_207225605_207227605	0.859208	0.3205	0.541
chr1	207262583	C4BPB	WGS	1	C4BPB	WGS	chr1_207261583_207263583	0.956458	0.1545	0.43
chr1	207277607	C4BPA	WGS	1	C4BPA	WGS	chr1_207276607_207278607	1	0.0945	0.4045
chr1	207495046	CD55	WGS	1	CD55	WGS	chr1_207494046_207496046	0.985167	0.0505	0.562
chr1	207627575	CR2	WGS	1	CR2	WGS	chr1_207626575_207628575	1	0.3355	0.482
chr1	207669613	CR1	WGS	1	CR1	WGS	chr1_207668613_207670613	0.864	0.3175	0.527
chr1	207818519	CR1L	WGS	1	CR1L	WGS	chr1_207817519_207819519	0.936	0.0305	0.5545
chr1	207925402	CD46	WGS	1	CD46	WGS	chr1_207924402_207926402	0.941	0	0.5605
chr1	208084747	CD34	WGS	-1	CD34	WGS	chr1_208083747_208085747	1	0.0255	0.531
chr1	208417665	PLXNA2	WGS	-1	PLXNA2	WGS	chr1_208416665_208418665	0.997375	0.0385	0.6425
chr1	209757062	CAMK1G	WGS	1	CAMK1G	WGS	chr1_209756062_209758062	1	0.0725	0.493
chr1	209824679	LAMB3	WGS	-1	LAMB3	WGS	chr1_209823679_209825679	1	0.1525	0.5185
chr1	209848765	G0S2	WGS	1	G0S2	WGS	chr1_209847765_209849765	0.977083	0.0565	0.554
chr1	209859510	HSD11B1	WGS	1	HSD11B1	WGS	chr1_209858510_209860510	1	0.1245	0.4335
chr1	209931843	TRAF3IP3	WGS	1	TRAF3IP3	WGS	chr1_209930843_209932843	1	0.139	0.4825
chr1	209957904	C1orf74	WGS	-1	C1orf74	WGS	chr1_209956904_209958904	0.981	0.0515	0.4895
chr1	209979389	IRF6	WGS	-1	IRF6	WGS	chr1_209978389_209980389	0.9855	0.206	0.558
chr1	210001352	DIEXF	WGS	1	DIEXF	WGS	chr1_210000352_210002352	0.779	0.508	0.519
chr1	210111538	SYT14	WGS	1	SYT14	WGS	chr1_210110538_210112538	0.987667	0.1105	0.5785
chr1	210406144	SERTAD4	WGS	1	SERTAD4	WGS	chr1_210405144_210407144	1	0.099	0.6285
chr1	210502250	HHAT	WGS	1	HHAT	WGS	chr1_210501250_210503250	0.960417	0.1895	0.565
chr1	211307315	KCNH1	WGS	-1	KCNH1	WGS	chr1_211306315_211308315	1	0	0.593
chr1	211432775	RCOR3	WGS	1	RCOR3	WGS	chr1_211431775_211433775	1	0.186	0.6445
chr1	211500179	TRAF5	WGS	1	TRAF5	WGS	chr1_211499179_211501179	0.947917	0.3005	0.602
chr1	211666259	RD3	WGS	-1	RD3	WGS	chr1_211665259_211667259	0.9855	0.033	0.5195
chr1	211752084	SLC30A1	WGS	-1	SLC30A1	WGS	chr1_211751084_211753084	1	0.0405	0.719
chr1	211848960	NEK2	WGS	-1	NEK2	WGS	chr1_211847960_211849960	0.945667	0.2245	0.533
chr1	212004114	LPGAT1	WGS	-1	LPGAT1	WGS	chr1_212003114_212005114	1	0.107	0.6015
chr1	212208884	INTS7	WGS	-1	INTS7	WGS	chr1_212207884_212209884	1	0.1515	0.5005
chr1	212208919	DTL	WGS	1	DTL	WGS	chr1_212207919_212209919	1	0.1515	0.502
chr1	212458879	PPP2R5A	WGS	1	PPP2R5A	WGS	chr1_212457879_212459879	1	0.025	0.6685
chr1	212588243	TMEM206	WGS	-1	TMEM206	WGS	chr1_212587243_212589243	1	0.065	0.5935
chr1	212606229	NENF	WGS	1	NENF	WGS	chr1_212605229_212607229	0.958417	0.316	0.58
chr1	212782012	ATF3	WGS	1	ATF3	WGS	chr1_212781012_212783012	1	0	0.6565
chr1	212797789	FAM71A	WGS	1	FAM71A	WGS	chr1_212796789_212798789	0.991958	0.079	0.4865
chr1	212873327	BATF3	WGS	-1	BATF3	WGS	chr1_212872327_212874327	1	0.016	0.6935
chr1	212965124	NSL1	WGS	-1	NSL1	WGS	chr1_212964124_212966124	0.878667	0.4215	0.5225
chr1	212965170	TATDN3	WGS	1	TATDN3	WGS	chr1_212964170_212966170	0.899917	0.418	0.5165
chr1	213020991	C1orf227	WGS	-1	C1orf227	WGS	chr1_213019991_213021991	0.829417	0.644	0.4275
chr1	213031597	FLVCR1	WGS	1	FLVCR1	WGS	chr1_213030597_213032597	0.953125	0.244	0.612
chr1	213123977	VASH2	WGS	1	VASH2	WGS	chr1_213122977_213124977	1	0.132	0.6155
chr1	213189168	ANGEL2	WGS	-1	ANGEL2	WGS	chr1_213188168_213190168	0.747708	0.506	0.5395
chr1	213224597	RPS6KC1	WGS	1	RPS6KC1	WGS	chr1_213223597_213225597	1	0.069	0.4945
chr1	214161286	PROX1	WGS	1	PROX1	WGS	chr1_214160286_214162286	0.99375	0.153	0.5245
chr1	214454576	SMYD2	WGS	1	SMYD2	WGS	chr1_214453576_214455576	1	0.1525	0.6115
chr1	214724566	PTPN14	WGS	-1	PTPN14	WGS	chr1_214723566_214725566	1	0.0685	0.6325
chr1	214776538	CENPF	WGS	1	CENPF	WGS	chr1_214775538_214777538	0.99925	0.133	0.4985
chr1	215256579	KCNK2	WGS	1	KCNK2	WGS	chr1_215255579_215257579	0.990833	0.083	0.608
chr1	215740735	KCTD3	WGS	1	KCTD3	WGS	chr1_215739735_215741735	1	0.047	0.521
chr1	216596738	USH2A	WGS	-1	USH2A	WGS	chr1_216595738_216597738	1	0.037	0.389
chr1	216896795	ESRRG	WGS	-1	ESRRG	WGS	chr1_216895795_216897795	1	0.0105	0.409
chr1	217804424	GPATCH2	WGS	-1	GPATCH2	WGS	chr1_217803424_217805424	0.952333	0.0905	0.459
chr1	217804666	SPATA17	WGS	1	SPATA17	WGS	chr1_217803666_217805666	0.938875	0.1605	0.4625
chr1	218458629	RRP15	WGS	1	RRP15	WGS	chr1_218457629_218459629	1	0.1555	0.494
chr1	218519577	TGFB2	WGS	1	TGFB2	WGS	chr1_218518577_218520577	0.993458	0.069	0.552
chr1	218683438	C1orf143	WGS	1	C1orf143	WGS	chr1_218682438_218684438	0.989333	0.1775	0.3675
chr1	219347186	LYPLAL1	WGS	1	LYPLAL1	WGS	chr1_219346186_219348186	0.994792	0.4445	0.454
chr1	220101944	SLC30A10	WGS	-1	SLC30A10	WGS	chr1_220100944_220102944	0.956083	0.0815	0.6065
chr1	220220000	EPRS	WGS	-1	EPRS	WGS	chr1_220219000_220221000	0.868542	0.3845	0.53
chr1	220263804	BPNT1	WGS	-1	BPNT1	WGS	chr1_220262804_220264804	0.847375	0.51	0.4485
chr1	220267455	IARS2	WGS	1	IARS2	WGS	chr1_220266455_220268455	0.980583	0.326	0.5085
chr1	220445796	RAB3GAP2	WGS	-1	RAB3GAP2	WGS	chr1_220444796_220446796	1	0.235	0.4875
chr1	220608023	AC096644.1	WGS	-1	AC096644.1	WGS	chr1_220607023_220609023	0.983	0.9625	0.4255
chr1	220701899	MARK1	WGS	1	MARK1	WGS	chr1_220700899_220702899	0.99825	0.0775	0.6205
chr1	220863187	C1orf115	WGS	1	C1orf115	WGS	chr1_220862187_220864187	0.962167	0.4385	0.5495
chr1	220921676	MARC2	WGS	1	MARC2	WGS	chr1_220920676_220922676	0.9965	0.376	0.5625
chr1	220960101	MARC1	WGS	1	MARC1	WGS	chr1_220959101_220961101	0.973417	0.182	0.594
chr1	221051699	HLX	WGS	1	HLX	WGS	chr1_221050699_221052699	1	0.0345	0.535
chr1	221915518	DUSP10	WGS	-1	DUSP10	WGS	chr1_221914518_221916518	1	0.0265	0.586
chr1	222721445	HHIPL2	WGS	-1	HHIPL2	WGS	chr1_222720445_222722445	0.960375	0.2265	0.537
chr1	222763220	TAF1A	WGS	-1	TAF1A	WGS	chr1_222762220_222764220	0.983792	0.4545	0.4645
chr1	222791428	MIA3	WGS	1	MIA3	WGS	chr1_222790428_222792428	1	0.1605	0.643
chr1	222885866	AIDA	WGS	-1	AIDA	WGS	chr1_222884866_222886866	0.9465	0	0.591
chr1	222885895	BROX	WGS	1	BROX	WGS	chr1_222884895_222886895	0.9465	0	0.5905
chr1	222910558	FAM177B	WGS	1	FAM177B	WGS	chr1_222909558_222911558	1	0.5715	0.438
chr1	223101766	DISP1	WGS	1	DISP1	WGS	chr1_223100766_223102766	1	0.08	0.328
chr1	223310629	TLR5	WGS	-1	TLR5	WGS	chr1_223309629_223311629	0.944875	0.46	0.4375
chr1	223537401	SUSD4	WGS	-1	SUSD4	WGS	chr1_223536401_223538401	1	0.1515	0.6915
chr1	223566715	C1orf65	WGS	1	C1orf65	WGS	chr1_223565715_223567715	1	0.137	0.5875
chr1	223853348	CAPN8	WGS	-1	CAPN8	WGS	chr1_223852348_223854348	0.853917	0.482	0.5
chr1	223900034	CAPN2	WGS	1	CAPN2	WGS	chr1_223899034_223901034	0.967917	0.3795	0.596
chr1	224033674	TP53BP2	WGS	-1	TP53BP2	WGS	chr1_224032674_224034674	1	0.091	0.6315
chr1	224216371	AC138393.1	WGS	-1	AC138393.1	WGS	chr1_224215371_224217371	0.526	0.273	0.42
chr1	224301789	FBXO28	WGS	1	FBXO28	WGS	chr1_224300789_224302789	0.986208	0.3765	0.506
chr1	224370873	DEGS1	WGS	1	DEGS1	WGS	chr1_224369873_224371873	0.967417	0.232	0.612
chr1	224518089	NVL	WGS	-1	NVL	WGS	chr1_224517089_224519089	0.948458	0.18	0.4755
chr1	224544552	CNIH4	WGS	1	CNIH4	WGS	chr1_224543552_224545552	0.94725	0.2115	0.5335
chr1	224622001	WDR26	WGS	-1	WDR26	WGS	chr1_224621001_224623001	1	0.2065	0.6755
chr1	224803995	CNIH3	WGS	1	CNIH3	WGS	chr1_224802995_224804995	1	0.0895	0.6005
chr1	225117369	DNAH14	WGS	1	DNAH14	WGS	chr1_225116369_225118369	0.962458	0.19	0.466
chr1	225616519	LBR	WGS	-1	LBR	WGS	chr1_225615519_225617519	0.947167	0.147	0.536
chr1	225600404	AC092811.1	WGS	1	AC092811.1	WGS	chr1_225599404_225601404	0.919208	0.1945	0.394
chr1	225840844	ENAH	WGS	-1	ENAH	WGS	chr1_225839844_225841844	1	0.086	0.6665
chr1	225965531	SRP9	WGS	1	SRP9	WGS	chr1_225964531_225966531	0.96675	0.205	0.5015
chr1	226013055	EPHX1	WGS	1	EPHX1	WGS	chr1_226012055_226014055	0.974292	0.1885	0.5135
chr1	226070069	TMEM63A	WGS	-1	TMEM63A	WGS	chr1_226069069_226071069	0.9975	0.0665	0.652
chr1	226076846	LEFTY1	WGS	-1	LEFTY1	WGS	chr1_226075846_226077846	0.950792	0.225	0.5655
chr1	226111978	RP4-559A3.7	WGS	-1	RP4-559A3.7	WGS	chr1_226110978_226112978	0.886875	0.294	0.6085
chr1	226111959	PYCR2	WGS	-1	PYCR2	WGS	chr1_226110959_226112959	0.879875	0.3035	0.61
chr1	226129189	LEFTY2	WGS	-1	LEFTY2	WGS	chr1_226128189_226130189	0.949042	0.224	0.575
chr1	226187032	SDE2	WGS	-1	SDE2	WGS	chr1_226186032_226188032	1	0	0.509
chr1	226251678	H3F3A	WGS	1	H3F3A	WGS	chr1_226250678_226252678	0.951292	0	0.4475
chr1	226374431	ACBD3	WGS	-1	ACBD3	WGS	chr1_226373431_226375431	0.995125	0.3475	0.553
chr1	226411319	MIXL1	WGS	1	MIXL1	WGS	chr1_226410319_226412319	1	0.062	0.6085
chr1	226497434	LIN9	WGS	-1	LIN9	WGS	chr1_226496434_226498434	1	0.2135	0.594
chr1	226595774	PARP1	WGS	-1	PARP1	WGS	chr1_226594774_226596774	0.976	0.3105	0.562
chr1	226736501	C1orf95	WGS	1	C1orf95	WGS	chr1_226735501_226737501	1	0.0925	0.6355
chr1	226926864	ITPKB	WGS	-1	ITPKB	WGS	chr1_226925864_226927864	1	0.062	0.5255
chr1	227058264	PSEN2	WGS	1	PSEN2	WGS	chr1_227057264_227059264	0.99675	0.375	0.572
chr1	227085237	ADCK3	WGS	1	ADCK3	WGS	chr1_227084237_227086237	0.883333	0.527	0.463
chr1	227506175	CDC42BPA	WGS	-1	CDC42BPA	WGS	chr1_227505175_227507175	1	0.113	0.63
chr1	227751244	ZNF678	WGS	1	ZNF678	WGS	chr1_227750244_227752244	0.998875	0.4335	0.4865
chr1	227922697	SNAP47	WGS	1	SNAP47	WGS	chr1_227921697_227923697	0.9865	0.206	0.6395
chr1	227923112	JMJD4	WGS	-1	JMJD4	WGS	chr1_227922112_227924112	0.9995	0.198	0.6475
chr1	228003394	PRSS38	WGS	1	PRSS38	WGS	chr1_228002394_228004394	0.880583	0.5165	0.554
chr1	228135599	WNT9A	WGS	-1	WNT9A	WGS	chr1_228134599_228136599	1	0.168	0.7035
chr1	228194752	WNT3A	WGS	1	WNT3A	WGS	chr1_228193752_228195752	1	0.143	0.6975
chr1	228270851	ARF1	WGS	1	ARF1	WGS	chr1_228269851_228271851	1	0.067	0.682
chr1	228291163	C1orf35	WGS	-1	C1orf35	WGS	chr1_228290163_228292163	0.946333	0.4225	0.6365
chr1	228297000	MRPL55	WGS	-1	MRPL55	WGS	chr1_228296000_228298000	1	0.1555	0.617
chr1	228327991	GUK1	WGS	1	GUK1	WGS	chr1_228326991_228328991	0.944417	0.2415	0.631
chr1	228337553	GJC2	WGS	1	GJC2	WGS	chr1_228336553_228338553	1	0	0.6685
chr1	228353213	IBA57-AS1	WGS	-1	IBA57-AS1	WGS	chr1_228352213_228354213	0.974583	0.3	0.633
chr1	228353516	IBA57	WGS	1	IBA57	WGS	chr1_228352516_228354516	0.974583	0.281	0.639
chr1	228401361	C1orf145	WGS	-1	C1orf145	WGS	chr1_228400361_228402361	1	0.2375	0.687
chr1	228395831	OBSCN	WGS	1	OBSCN	WGS	chr1_228394831_228396831	1	0.196	0.6585
chr1	228594541	TRIM11	WGS	-1	TRIM11	WGS	chr1_228593541_228595541	0.983042	0.118	0.6575
chr1	228603730	TRIM17	WGS	-1	TRIM17	WGS	chr1_228602730_228604730	1	0.239	0.618
chr1	228613026	HIST3H3	WGS	-1	HIST3H3	WGS	chr1_228612026_228614026	0.768708	0.315	0.557
chr1	228645560	HIST3H2A	WGS	-1	HIST3H2A	WGS	chr1_228644560_228646560	0.917333	0.0305	0.548
chr1	228645808	HIST3H2BB	WGS	1	HIST3H2BB	WGS	chr1_228644808_228646808	0.849375	0.1545	0.5705
chr1	228674762	RNF187	WGS	1	RNF187	WGS	chr1_228673762_228675762	0.922667	0.2875	0.6535
chr1	228870824	RHOU	WGS	1	RHOU	WGS	chr1_228869824_228871824	1	0.3225	0.581
chr1	229385383	TMEM78	WGS	1	TMEM78	WGS	chr1_229384383_229386383	0.961917	0.37	0.46
chr1	229406879	RAB4A	WGS	1	RAB4A	WGS	chr1_229405879_229407879	0.969958	0.4015	0.598
chr1	229440129	SPHAR	WGS	1	SPHAR	WGS	chr1_229439129_229441129	0.977	0.0015	0.3425
chr1	229478735	CCSAP	WGS	-1	CCSAP	WGS	chr1_229477735_229479735	0.908542	0.377	0.667
chr1	229569841	ACTA1	WGS	-1	ACTA1	WGS	chr1_229568841_229570841	1	0	0.63
chr1	229644088	NUP133	WGS	-1	NUP133	WGS	chr1_229643088_229645088	1	0.2385	0.5075
