geneName	chr	start	end	strand	avg_exp
CABP4	chr11	67219877	67226699	1	7.3022205109409
CABP5	chr19	48533210	48547310	-1	1.44672525419132
CABP7	chr22	30116073	30127828	1	0.178596174985229
CABS1	chr4	71200683	71202833	1	0.0355835601693353
CABYR	chr18	21718942	21741567	1	1.53003549326792
CACFD1	chrHG79_PATCH	136335502	136346383	1	5.73231148207471
CACHD1	chr1	64936428	65158741	1	2.14779635024926
CACNA1A	chr19	13317256	13734804	-1	0.534397889440153
CACNA1B	chr9	140772241	141019076	1	0.0514518417864549
CACNA1C	chr12	2079952	2802108	1	0.862200254728167
CACNA1D	chr3	53528683	53847760	1	6.28854698669251
CACNA1E	chr1	181382238	181777219	1	0.111476463942073
CACNA1F	chrX	49061523	49089833	-1	3.52726330494383
CACNA1G	chr17	48638429	48704835	1	0.0829960597889114
CACNA1H	chr16	1203241	1271771	1	0.431570328224055
CACNA1I	chr22	39966758	40085742	1	3.27571877171955
CACNA1S	chr1	201008642	201081694	-1	0.0961394184787647
CACNA2D1	chr7	81575760	82073114	-1	1.18539154594115
CACNA2D2	chr3	50400233	50541675	-1	7.91872840893958
CACNA2D3	chr3	54156574	55108584	1	25.1234004895644
CACNA2D4	chr12	1901123	2028002	-1	13.8748534047636
CACNB1	chr17	37329709	37353956	-1	12.5377497673286
CACNB2	chr10	18429606	18830798	1	6.44155866419177
CACNB3	chr12	49207577	49222724	1	6.08884031346514
CACNB4	chr2	152689290	152955593	-1	1.99677760178376
CACNG1	chr17	65040706	65052909	1	0.335331372406074
CACNG2	chr22	36959968	37099603	-1	0.0755278826042243
CACNG3	chr16	24266874	24374122	1	0.0427437056709688
CACNG4	chr17	64961026	65029514	1	0.0537635918489384
CACNG5	chr17	64831235	64881603	1	0
CACNG6	chr19	54495542	54515923	1	0
CACNG7	chr19	54412589	54447195	1	0
CACNG8	chr19	54466294	54493469	1	0.12376508929054
CACTIN	chr19	3610639	3626813	-1	9.71991266567309
CACUL1	chr10	120433679	120514761	-1	47.9566868831008
CACYBP	chr1	174968300	174980851	1	43.2974946843564
CAD	chr2	27440258	27466811	1	14.599825004671
CADM1	chr11	115039938	115375675	-1	7.71428537545789
CADM2	chr3	85008132	86123579	1	0.241673307550857
CADM3	chr1	159141399	159173103	1	0.136672997656979
CADM4	chr19	44126520	44143991	-1	0.624379763695336
CADPS	chr3	62384022	62861054	-1	0.58985259472512
CADPS2	chr7	121958481	122526813	-1	0.0553862541315047
CAGE1	chr6	7326889	7389976	-1	0.295696595444312
CALB1	chr8	91070836	91107703	-1	4.68900461679011
CALB2	chr16	71392616	71424341	1	0.517607284724563
CALCA	chrHG873_PATCH	14988217	14993851	-1	0.455415847038316
CALCB	chr11	14926543	15103888	1	0.083596144781264
CALCOCO1	chr12	54104903	54121529	-1	60.0003713787863
CALCOCO2	chr17	46908350	46943884	1	185.699028039145
CALCR	chr7	93053799	93204042	-1	0.241539325300753
CALCRL	chr2	188207856	188313187	-1	2.29018857500267
CALD1	chr7	134429003	134655479	1	3.84683043504017
CALHM1	chr10	105213144	105218645	-1	0.051060931841152
CALHM2	chr10	105206543	105212660	-1	15.1088781932203
CALHM3	chr10	105232561	105238997	-1	0.069210751845585
CALM1	chr14	90862846	90874605	1	258.953582942461
CALM2	chr2	47387221	47403740	-1	196.597074175986
CALM3	chr19	47104331	47114050	1	219.547840615453
CALML3	chr10	5566924	5568225	1	0
CALML4	chr15	68483043	68498417	-1	14.4362660447652
CALML5	chr10	5540658	5541533	-1	0
CALML6	chr1	1846266	1848735	1	0.146677242629186
CALN1	chr7	71244476	71912136	-1	0.0457108674110043
CALR	chr19	13049392	13055303	1	934.744514240282
CALR3	chr19	16589868	16607003	-1	0.966641022949537
CALU	chr7	128379346	128411861	1	57.3570982579387
CALY	chr10	135138927	135150475	-1	0.222705098922955
CAMK1	chr3	9799026	9811676	-1	15.9091895783401
CAMK1D	chr10	12391481	12877545	1	28.8334915553643
CAMK1G	chr1	209757062	209787283	1	0.0318515603588875
CAMK2A	chr5	149599054	149669854	-1	0.109573340802185
CAMK2B	chr7	44256749	44374176	-1	0.0691355493335967
CAMK2D	chr4	114372188	114683083	-1	79.6469371122366
CAMK2G	chr10	75572259	75634343	-1	54.5094694919435
CAMK2N1	chr1	20808884	20812713	-1	0.157919588815863
CAMK2N2	chr3	183977001	183979251	-1	0.0203688083436872
CAMK4	chr5	110559351	110830584	1	67.3318849206686
CAMKK1	chr17	3763609	3798185	-1	3.00038931930777
CAMKK2	chr12	121675497	121736111	-1	27.8683181455159
CAMKMT	chr2	44589089	44999731	1	18.8101512866636
CAMKV	chr3	49895421	49907655	-1	0.0289535785288865
CAMLG	chr5	134074191	134087847	1	10.9272734482199
CAMP	chr3	48264837	48266981	1	0.832833657082129
CAMSAP1	chr9	138700333	138799074	-1	15.715094362934
CAMSAP2	chr1	200708686	200829832	1	5.88821820774482
CAMSAP3	chr19	7660788	7683190	1	0.235941097401146
CAMTA1	chr1	6845384	7829766	1	47.1944275797555
CAMTA2	chr17	4871287	4890960	-1	48.4074585267997
CAND1	chr12	67663061	67713731	1	28.4514865306091
CAND2	chr3	12837971	12913415	1	1.11889368230924
CANT1	chr17	76987799	77005949	-1	18.2852084445651
CANX	chr5	179105629	179157926	1	531.041434659761
CAP1	chr1	40505905	40538321	1	468.2377405153
CAP2	chr6	17393447	17558023	1	0.502088170092868
CAPG	chr2	85621871	85645555	-1	80.2910872550555
CAPN1	chr11	64948037	64979477	1	46.3569686047853
CAPN10	chr2	241526133	241557122	1	14.1332721765615
CAPN11	chr6	44126548	44152139	1	0.180050183687334
CAPN12	chr19	39220827	39260544	-1	2.97189845799884
CAPN13	chr2	30945637	31043408	-1	0.0882319130371274
CAPN14	chr2	31395924	31456724	-1	0.559363037846562
CAPN15	chr16	577717	604636	1	9.64527120149448
CAPN2	chr1	223889295	223963720	1	454.280256811886
CAPN3	chr15	42640301	42704516	1	99.1666418946768
CAPN5	chrHG414_PATCH	76777976	76835592	1	2.7273539270929
CAPN6	chrX	110488331	110513751	-1	0
CAPN7	chr3	15247659	15294425	1	58.4843985834837
CAPN8	chr1	223711349	223853436	-1	0.942064021017371
CAPN9	chr1	230883130	230937749	1	0.0488965160856021
CAPNS1	chr19	36630477	36641255	1	392.154111324929
CAPNS2	chr16	55600584	55601599	1	0.837740709094805
CAPRIN1	chr11	34073230	34122703	1	261.357069351096
CAPRIN2	chr12	30862486	30907885	-1	44.8257224434251
CAPS	chr19	5911718	5915888	1	14.1610708534554
CAPS2	chr12	75669759	75784708	-1	2.63305622644325
CAPSL	chr5	35904397	35938881	-1	0.101708130616591
CAPZA1	chr1	113161795	113214241	1	416.928897097088
CAPZA2	chr7	116451124	116562103	1	122.156357990414
CAPZA3	chr12	18891045	18892121	1	0.026601721235862
CAPZB	chr1	19665267	19812066	-1	207.060129929725
CARD10	chr22	37886400	37915549	-1	0.221460925095543
CARD11	chr7	2945775	3083579	-1	37.4459461609058
CARD14	chr17	78143791	78183130	1	0.11866874488194
CARD16	chr11	104912053	104972158	-1	572.119596978652
CARD17	chr11	104963196	104972158	-1	1.86871804968808
CARD18	chr11	105008448	105010453	-1	0.100241877999604
CARD6	chr5	40841286	40860275	1	8.55389887722501
CARD8	chr19	48684027	48759203	-1	121.573640285664
CARD9	chr9	139256355	139268133	-1	16.2116316802022
CARF	chr2	203776937	203851786	1	40.5853760182642
CARHSP1	chr16	8946799	8962866	-1	9.19114322115663
CARM1	chr19	10982189	11033453	1	14.1844997535673
CARNS1	chr11	67182439	67193078	1	1.85601893566068
CARS	chr11	3022152	3078843	-1	26.8662420929484
CARS2	chr13	111293759	111365950	-1	54.0884910565519
CARTPT	chr5	71014990	71016875	1	0.0656525035720587
CASC1	chr12	25261354	25348096	-1	1.20988910427656
CASC10	chr10	21781587	21786191	-1	0.006668671662142
CASC3	chr17	38296571	38328436	1	136.621092111335
CASC4	chr15	44580927	44707956	1	115.370775985189
CASD1	chr7	94138531	94186331	1	15.6994397268468
CASK	chrX	41374187	41782716	-1	48.7430950870243
CASKIN1	chr16	2227184	2246526	-1	0.0222473343483182
CASKIN2	chr17	73496342	73511664	-1	0.145196911481525
CASP1	chr11	104896170	104972158	-1	702.524592042356
CASP10	chr2	202047604	202094129	1	60.5070317023181
CASP12	chr11	104756445	104769397	-1	0
CASP14	chr19	15160195	15169104	1	0.0818186817211633
CASP2	chr7	142985308	143004789	1	116.717131135611
CASP3	chr4	185548850	185570663	-1	12.1078406676989
CASP4	chr11	104813593	104840163	-1	687.660384710672
CASP5	chr11	104864962	104893895	-1	9.91814123109205
CASP6	chr4	110609785	110624739	-1	19.3254634298438
CASP7	chr10	115438942	115490662	1	9.81971790723335
CASP8	chr2	202098166	202152434	1	503.68280701526
CASP9	chr1	15817327	15853029	-1	8.88435344070544
CASQ1	chr1	160160285	160171676	1	0.372948340668061
CASQ2	chr1	116242628	116311402	-1	0.346237004132017
CASR	chr3	121902530	122005342	1	0.124026321204518
CASS4	chr20	54987168	55034396	1	5.33734797221789
CAST	chr5	95860971	96115299	1	384.299831371645
CASZ1	chr1	10696661	10856707	-1	3.90846895862382
CAT	chr11	34460472	34493609	1	241.715875229801
CATSPER1	chr11	65784223	65793988	-1	20.5233507378823
CATSPER2	chr15	43920701	43960316	-1	18.3268340162266
CATSPER3	chr5	134303596	134347392	1	1.5388012737051
CATSPER4	chr1	26517052	26529459	1	0.178132828082625
CATSPERB	chr14	92047040	92247051	-1	1.45047622859118
CATSPERD	chr19	5720688	5778745	1	0.528973201603491
CATSPERG	chr19	38826415	38861589	1	21.0170060803789
CAV1	chr7	116164839	116201233	1	0.290433096176595
CAV2	chr7	115927434	116148595	1	0.442292821267834
CAV3	chr3	8775486	8883492	1	0.0236330944158571
CBFA2T2	chr20	32077881	32237842	1	21.8431469057992
CBFA2T3	chr16	88941266	89043612	-1	17.1777732371533
CBFB	chr16	67063019	67134961	1	98.3702024565191
CBL	chr11	119076752	119178859	1	118.789367455817
CBLB	chr3	105374305	105588396	-1	135.563951545483
CBLC	chr19	45281126	45303891	1	0.0821483093534252
CBLL1	chr7	107384142	107402112	1	101.458363094779
CBLN1	chr16	49311828	49315742	-1	0.08988981706709
CBLN2	chr18	70203915	70305756	-1	0
CBLN3	chr14	24895738	24900160	-1	0.86911602908505
CBLN4	chr20	54572496	54580528	-1	0.033722421318119
CBR1	chr21	37442239	37445464	1	4.24407422544537
CBR3	chr21	37507210	37518864	1	1.47977101528969
CBR4	chr4	169784921	169931426	-1	19.0429883594157
CBS	chr21	44473301	44497053	-1	4.05853144066961
CBWD1	chr9	121041	188979	-1	238.97968763428
CBWD2	chr2	114195268	114253766	1	421.04289597402
CBWD3	chrHG962_PATCH	70856397	70914929	1	835.693137298086
CBWD5	chr9	70432004	70497240	-1	309.280311456822
CBWD6	chr9	69204538	69269662	-1	58.4310166613526
CBX1	chr17	46147414	46178883	-1	12.7994054977088
CBX2	chrHG748_PATCH	77774214	77784065	1	1.49752004784596
CBX3	chr7	26240782	26252976	1	41.6182881823336
CBX4	chr17	77806955	77813228	-1	52.1349077104579
CBX5	chr12	54624724	54673886	-1	48.7895662607225
CBX6	chr22	39257455	39268319	-1	0.920492995835179
CBX7	chr22	39516172	39548679	-1	6.96389094515851
CBX8	chrHG748_PATCH	77788214	77797765	-1	1.82727465885269
CBY1	chr22	39052641	39069859	1	6.45329970502661
CBY3	chr5	179105584	179107975	-1	0.329028717798866
CC2D1A	chr19	14017014	14041692	1	30.2385595037488
CC2D1B	chr1	52811395	52831865	-1	59.7785270814752
CC2D2A	chr4	15471489	15603180	1	16.7689056149441
CC2D2B	chr10	97733786	97792441	1	2.98974284384827
CCAR1	chr10	70480769	70552134	1	154.977000173246
CCAR2	chr8	22462145	22479027	1	138.821807923924
CCBE1	chr18	57098172	57364612	-1	0.175001416455076
CCDC102A	chr16	57546090	57570511	-1	1.13313460253862
CCDC102B	chr18	66382446	66722426	1	3.02013440458809
CCDC103	chr17	42976510	42982758	1	0.828246554473287
CCDC105	chr19	15121556	15134081	1	0.0309733464690448
CCDC106	chr19	56152428	56164527	1	4.61172527056167
CCDC107	chr9	35658301	35661508	1	10.5328035978686
CCDC110	chr4	186366336	186392913	-1	0.605027644178489
CCDC112	chr5	114602885	114632528	-1	14.0773826518501
CCDC113	chr16	58265061	58317740	1	0.560464038928516
CCDC114	chr19	48799714	48825151	-1	0.852589274728214
CCDC115	chr2	131095814	131099922	-1	7.32523937150933
CCDC116	chr22	21987005	21991616	1	0.419040865414435
CCDC117	chr22	29168662	29185283	1	39.5201488610579
CCDC12	chr3	46963216	47023500	-1	166.9874300891
CCDC120	chrX	48911101	48927509	1	1.82622901282743
CCDC121	chr2	27848506	27851879	-1	2.31831416366135
CCDC122	chr13	44398045	44453827	-1	1.25275483835805
CCDC124	chr19	18043825	18054800	1	25.3894867675422
CCDC125	chr5	68576002	68628636	-1	13.2078743032716
CCDC126	chr7	23636998	23684327	1	21.3122233018214
CCDC127	chr5	196986	218330	-1	6.40308588433566
CCDC129	chr7	31553704	31698334	1	0.0894999902972357
CCDC13	chr3	42734155	42814745	-1	1.9229851804959
CCDC130	chr19	13842574	13874110	1	47.1610072664631
CCDC134	chr22	42196683	42222303	1	19.0618081568549
CCDC136	chr7	128430811	128462186	1	6.1391538744041
CCDC137	chr17	79633394	79640934	1	26.3399708485661
CCDC138	chr2	109403213	109501933	1	4.89379707153451
CCDC14	chr3	123616152	123680564	-1	43.0607564785424
CCDC140	chr2	223162866	223169936	1	0
CCDC141	chr2	179694484	179914813	-1	17.3927223448859
CCDC142	chr2	74699113	74710535	-1	10.171507371022
CCDC144A	chr17	16592851	16707767	1	34.4018249877996
CCDC144NL	chr17	20739760	20799453	-1	0.093722515083997
CCDC146	chr7	76751751	76958850	1	12.7712502814818
CCDC148	chr2	159027593	159313265	-1	0.393053359195408
CCDC149	chr4	24807739	24981826	-1	8.96408208114718
CCDC15	chr11	124824017	124911385	1	13.6823393443561
CCDC150	chr2	197504278	197628214	1	1.85693343043967
CCDC151	chr19	11531272	11546603	-1	0.392211421309269
CCDC152	chr5	42756903	42802462	1	1.60779740381751
CCDC153	chr11	119060347	119067479	-1	2.50898386135874
CCDC154	chr16	1484384	1494557	-1	1.79289392489193
CCDC155	chr19	49891475	49921251	1	0.252647094365294
CCDC157	chr22	30752624	30774647	1	3.10079239345699
CCDC158	chr4	77234154	77343021	-1	0.0312459025093192
CCDC159	chr19	11455360	11465620	1	89.2008118208752
CCDC160	chrX	133371077	133380237	1	0.04304830382911
CCDC166	chr8	144788864	144790279	-1	0.021124751844461
CCDC167	chr6	37450696	37467698	-1	29.6761254340009
CCDC168	chr13	103381801	103389159	-1	0.160885688471095
CCDC169	chr13	36801182	36871977	-1	0.259107258041421
CCDC169-SOHLH2	chr13	36742931	36871979	-1	0
CCDC17	chr1	46085716	46089729	-1	4.26633026728043
CCDC170	chr6	151815165	151942328	1	11.1564112456657
CCDC171	chr9	15552895	16061661	1	1.06516738084192
CCDC172	chr10	118083940	118139541	1	0.0158249629113779
CCDC173	chr2	170501935	170550943	-1	2.84742352012709
CCDC174	chr3	14693271	14714166	1	45.7336605075502
CCDC175	chr14	59971257	60043549	-1	1.11791653585006
CCDC177	chr14	70037483	70038032	-1	0.0242540801631502
CCDC178	chr18	30517366	31021065	-1	0.031628993528968
CCDC179	chr11	22868477	22881972	-1	0.633059835550073
CCDC18	chr1	93645476	93744287	1	14.6732257816848
CCDC180	chr9	100000765	100140806	1	6.71343566698688
CCDC181	chr1	169364108	169429907	-1	0.503117101208518
CCDC182	chr17	55821842	55822673	-1	0
CCDC183	chr9	139690802	139702193	1	6.33635926779028
CCDC22	chrX	49091927	49106987	1	13.5532957261752
CCDC24	chr1	44457031	44462200	1	0.789299855243403
CCDC25	chr8	27590835	27630170	-1	36.6209389700372
CCDC27	chr1	3668962	3688209	1	0.10213562600309
CCDC28A	chr6	139094657	139114456	1	37.3920002001818
CCDC28B	chr1	32665987	32670988	1	2.39497505184244
CCDC3	chr10	12938627	13141652	-1	0.00995949167673373
CCDC30	chr1	42929001	43120335	1	6.60197357412194
CCDC33	chr15	74509613	74628813	1	0.0219995431554616
CCDC34	chr11	27352374	27385415	-1	2.69392664103821
CCDC36	chr3	49235861	49295537	1	0.207254523086087
CCDC38	chr12	96260826	96336752	-1	2.0962260372302
CCDC39	chr3	180320646	180588793	-1	13.1719542639468
CCDC40	chr17	78010435	78074412	1	0.942054622657617
CCDC42	chr17	8633252	8648537	-1	0.10798890052754
CCDC43	chr17	42750437	42767147	-1	15.9141299364199
CCDC47	chr17	61822610	61853711	-1	59.5857580231935
CCDC50	chr3	191046866	191116459	1	42.3709242544432
CCDC51	chr3	48473574	48481866	-1	1.50147449723915
CCDC54	chr3	107096188	107097481	1	0.157962935103498
CCDC57	chr17	80059336	80170706	-1	19.8922682858945
CCDC58	chr3	122078438	122102078	-1	48.154480579379
CCDC59	chr12	82617460	82752584	-1	80.2640897745196
CCDC6	chr10	61548521	61666414	-1	20.696946119271
CCDC60	chr12	119772517	119978852	1	0.078933050936549
CCDC61	chr19	46498339	46524576	1	8.1920063669656
CCDC62	chr12	123258874	123312075	1	0.628462419968833
CCDC63	chr12	111284573	111345339	1	0.04222068458302
CCDC65	chr12	49297893	49325623	1	13.4158765343448
CCDC66	chr3	56591189	56655846	1	117.206056053392
CCDC68	chr18	52568740	52626739	-1	0.652694144872394
CCDC69	chr5	150560613	150603706	-1	138.701976030902
CCDC7	chr10	32735068	32863492	1	70.7964948944112
CCDC70	chr13	52436117	52440366	1	0.149154001834454
CCDC71	chr3	49199968	49203754	-1	15.5004024490871
CCDC71L	chr7	106297211	106301442	-1	0.370262069006465
CCDC73	chr11	32623792	32816204	-1	0.451691747135105
CCDC74A	chr2	132285248	132291239	1	0.0803440390260609
CCDC74B	chr2	130896860	130902707	-1	0.0228789015745175
CCDC77	chr12	498439	551811	1	14.6308762898486
CCDC78	chr16	772582	776954	-1	3.49858681398199
CCDC8	chr19	46913629	46916841	-1	0.0395190794144077
CCDC80	chr3	112323407	112368377	-1	0.364756126607185
CCDC81	chr11	86085778	86134151	1	0.840904790634181
CCDC82	chr11	96085933	96123087	-1	75.8216600877405
CCDC83	chr11	85566144	85631064	1	0.468317492335579
CCDC84	chrHG299_PATCH	118868852	118886501	1	52.0509461103021
CCDC85A	chr2	56411258	56613308	1	0.00667506896721697
CCDC85B	chr11	65657875	65659105	1	0.222485874079471
CCDC85C	chr14	99977603	100070363	-1	1.63402022651364
CCDC86	chr11	60609544	60618554	1	4.13201309252154
CCDC87	chr11	66357640	66360554	-1	0.0356818661825064
CCDC88A	chr2	55514978	55647057	-1	93.9186695245921
CCDC88B	chr11	64107695	64125006	1	26.2472782990586
CCDC88C	chr14	91737667	91884188	-1	145.556274449995
CCDC89	chr11	85394893	85397320	-1	0.589051270152481
CCDC9	chr19	47759237	47775210	1	14.53030445876
CCDC90B	chr11	82970139	82997450	-1	21.4504347281533
CCDC91	chr12	28286182	28732883	1	84.9147934361235
CCDC92	chr12	124403207	124457378	-1	8.71053305554162
CCDC93	chr2	118673054	118771709	-1	54.2888626579292
CCDC94	chr19	4247076	4269087	1	13.1166453983829
CCDC96	chr4	7042579	7044728	-1	0.182789380355178
CCDC97	chr19	41816094	41830788	1	12.526444842144
CCER1	chr12	91299399	91348953	-1	0.120666737272154
CCER2	chr19	39399620	39402798	-1	0.81608399453432
CCHCR1	chrHSCHR6_MHC_DBB	31103949	31119721	-1	4.77027862985298
CCIN	chr9	36169389	36171329	1	2.52940537926477
CCK	chr3	42299317	42307699	-1	0
CCKAR	chr4	26483022	26492084	-1	0.0468240035230343
CCKBR	chr11	6280966	6293357	1	0
CCL1	chr17	32687347	32690250	-1	0.11764197121722
CCL11	chr17	32612687	32615353	1	0.0536814130474103
CCL13	chr17	32683471	32685629	1	0.035976859120624
CCL14	chr17	34310327	34329100	-1	0.356317920046066
CCL15	chr17	34323476	34329084	-1	0.0286299253249163
CCL16	chr17	34303529	34308532	-1	0.0165365120923885
CCL17	chr16	57438679	57449974	1	0
CCL18	chr17	34391640	34399392	1	0.047811454045199
CCL19	chr9	34689564	34691274	-1	0
CCL2	chr17	32582304	32584222	1	3.95352812553187
CCL20	chr2	228678558	228682272	1	0.0520250977934707
CCL21	chr9	34709002	34710121	-1	0
CCL22	chr16	57392684	57400102	1	0
CCL23	chr17	34340096	34345005	-1	0.728583202835988
CCL24	chr7	75440983	75452674	-1	0
CCL25	chr19	8117651	8127534	1	0.0899433878663573
CCL26	chr7	75398851	75419214	-1	0
CCL27	chr9	34661877	34664045	-1	0.977110140472363
CCL28	chr5	43376747	43412493	-1	3.35467762494849
CCL3	chr17	34415602	34417515	-1	31.7368405579573
CCL3L3	chr17	34522268	34524157	-1	23.1601887831404
CCL4	chr17	34430983	34433014	1	194.300505831435
CCL4L2	chr17	34639793	34641846	1	29.5089801450447
CCL5	chr17	34198495	34207797	-1	388.613916265687
CCL7	chr17	32597240	32599261	1	0
CCL8	chr17	32646055	32648421	1	0.298490158968499
CCM2	chr7	45039074	45116068	1	138.993151176569
CCM2L	chr20	30598245	30619984	1	0.103004575889177
CCNA1	chr13	37005967	37017019	1	0.0316499258227558
CCNA2	chr4	122737599	122745087	-1	1.12148905148801
CCNB1	chr5	68462837	68474072	1	2.95826735638834
CCNB1IP1	chr14	20779527	20801471	-1	10.0276867146789
CCNB2	chr15	59397277	59417244	1	0.802427771529468
CCNB3	chrX	49967364	50094909	1	2.68249443471389
CCNC	chr6	99990256	100016849	-1	33.4158931718031
CCND1	chr11	69455855	69469242	1	1.10997599731
CCND2	chr12	4382938	4414516	1	16.7959293256467
CCND3	chr6	41902671	42018095	-1	130.03753419937
CCNDBP1	chr15	43477316	43487396	1	65.9396232948838
CCNE1	chr19	30302805	30315215	1	1.37720697058618
CCNE2	chr8	95891998	95908906	-1	3.28547219952492
CCNF	chr16	2479395	2508855	1	0.876455820658534
CCNG1	chr5	162864575	162873157	1	41.4379812067825
CCNG2	chr4	78078304	78354542	1	28.7557775293753
CCNH	chr5	86687311	86708836	-1	71.4589042453382
CCNI	chr4	77968311	77997158	-1	158.318279372763
CCNI2	chr5	132083137	132089856	1	0.559049274902504
CCNJ	chr10	97803151	97820627	1	5.64754178564238
CCNJL	chr5	159678659	159772403	-1	3.34279355606529
CCNK	chr14	99947506	100001381	1	63.3278661159137
CCNL1	chr3	156864297	156878549	-1	359.318283296543
CCNL2	chr1	1321091	1334708	-1	68.0953277587046
CCNO	chr5	54526980	54529508	-1	0
CCNT1	chr12	49082247	49110681	-1	40.7979626559503
CCNT2	chr2	135675805	135716912	1	73.3729007842661
CCNY	chr10	35535953	35860852	1	109.245632363332
CCNYL1	chr2	208576264	208626563	1	11.0678913396112
CCP110	chr16	19535133	19564730	1	10.2825557740044
CCPG1	chr15	55632230	55700708	-1	62.5371381330091
CCR1	chr3	46243200	46249887	-1	9.43503177030515
CCR10	chr17	40830907	40835935	-1	0.220974154133371
CCR2	chr3	46395225	46402419	1	100.905453411767
CCR3	chr3	46205096	46308197	1	0.566667033457404
CCR4	chr3	32993066	32997841	1	4.12329539200642
CCR5	chr3	46411633	46417697	1	7.12644223016109
CCR6	chr6	167525295	167553184	1	0.930057123572226
CCR7	chr17	38710021	38721724	-1	48.9413254479711
CCR8	chr3	39371197	39375171	1	1.39281242765128
CCR9	chr3	45927996	45944667	1	5.72115972756692
CCRL2	chr3	46448654	46454488	1	5.03029537569253
CCS	chr11	66360292	66373490	1	16.7974779788788
CCSAP	chr1	229456758	229479041	-1	3.91531384429475
CCSER1	chr4	91048686	92523064	1	6.63907980457177
CCSER2	chr10	86088342	86278273	1	81.144870944867
CCT2	chr12	69979114	69995350	1	118.527956892249
CCT3	chr1	156278759	156337664	-1	113.359932739127
CCT4	chr2	62095224	62115939	-1	42.3610301183125
CCT5	chr5	10250033	10266524	1	258.375354314042
CCT6A	chr7	56119323	56131682	1	47.2807169314398
CCT6B	chr17	33254878	33308097	-1	1.52823061250076
CCT7	chr2	73460548	73480149	1	138.559387968659
CCT8	chr21	30428126	30446118	-1	72.4897094112514
CCT8L2	chr22	17071667	17073700	-1	0.0510911656976457
CCZ1	chr7	5938356	5965605	1	94.2808386735798
CCZ1B	chr7	6833765	6866401	-1	252.92908442451
CD101	chr1	117544382	117579167	1	13.5927288719993
CD109	chr6	74405508	74538040	1	0.868290684830376
CD14	chr5	140011313	140013286	-1	76.5358826216388
CD151	chr11	832843	839831	1	13.1402605334329
CD160	chr1	145695798	145715614	-1	10.6963755245538
CD163	chr12	7623409	7656489	-1	73.3977380717457
CD163L1	chr12	7499281	7632493	-1	1.12158046744288
CD164	chr6	109687717	109703762	-1	154.523887078498
CD164L2	chr1	27705666	27709870	-1	0.0628960865473293
CD180	chr5	66478103	66492627	-1	5.53267167199288
CD19	chr16	28943260	28950667	1	23.1127606980047
CD1A	chr1	158223927	158228059	1	0.744548952841744
CD1B	chr1	158297741	158301321	-1	1.15593400312493
CD1C	chr1	158259576	158263420	1	37.774580581486
CD1D	chr1	158149737	158154686	1	12.2290241053723
CD1E	chr1	158323254	158327343	1	2.46886939104846
CD2	chr1	117297007	117311850	1	180.845341939314
CD200	chr3	112051194	112081659	1	5.48250127417396
CD200R1	chr3	112640056	112693969	-1	19.6042003250325
CD200R1L	chr3	112534556	112565703	-1	0.180083152394104
CD207	chr2	71057347	71062952	-1	0.215045433556395
CD209	chr19	7804879	7812464	-1	2.901954420242
CD22	chr19	35810164	35838258	1	45.4136509752707
CD226	chr18	67498394	67629039	-1	94.8083547205
CD244	chr1	160799950	160832692	-1	102.373084308134
CD247	chr1	167399877	167487847	-1	443.210146167116
CD248	chr11	66081958	66084515	-1	3.08758680473371
CD27	chr12	6554033	6560884	1	25.2368878865712
CD274	chr9	5450503	5470566	1	6.22596170691843
CD276	chr15	73976307	74006859	1	0.0166982165420291
CD28	chr2	204571198	204603635	1	99.3815802041874
CD2AP	chr6	47445525	47594999	1	35.1941082739035
CD2BP2	chr16	30362087	30366682	-1	97.8927667069873
CD300A	chr17	72462555	72480933	1	47.3089822081122
CD300C	chr17	72537247	72542282	-1	12.2150186054218
CD300E	chr17	72606026	72619897	-1	41.7447678526032
CD300LB	chr17	72517313	72527613	-1	22.5059577722804
CD300LD	chr17	72575504	72588422	-1	0.546802761164816
CD300LF	chr17	72690452	72709117	-1	79.1888021060482
CD300LG	chr17	41924516	41940997	1	0
CD302	chr2	160625364	160654753	-1	4.04385865547188
CD320	chr19	8367011	8373240	-1	9.10496409021097
CD33	chr19	51728320	51747115	1	61.2832777715534
CD34	chr1	208057594	208084747	-1	0.189375049273454
CD36	chr7	79998891	80308593	1	274.238796222131
CD37	chr19	49838428	49846592	1	368.452138012328
CD38	chr4	15779898	15854853	1	37.8720745526844
CD3D	chr11	118209669	118213459	-1	983.152775863178
CD3E	chr11	118175260	118186890	1	418.34158581874
CD3EAP	chr19	45909467	45914024	1	0.99730611405596
CD3G	chr11	118215059	118225876	1	225.485638555001
CD4	chr12	6896024	6929974	1	53.4281428255106
CD40	chr20	44746911	44758502	1	57.3176389934221
CD40LG	chrX	135730352	135742549	1	21.7010967430773
CD44	chr11	35160417	35253949	1	1891.32971387772
CD46	chr1	207925402	207968858	1	484.789731176917
CD47	chr3	107762145	107809872	-1	88.0996722652381
CD48	chr1	160648536	160681641	-1	266.936610647518
CD5	chr11	60869867	60895324	1	73.9524538158795
CD52	chr1	26644448	26647014	1	1753.74586447957
CD53	chr1	111415775	111442550	1	561.12875817264
CD55	chr1	207494853	207534311	1	311.73759242104
CD58	chr1	117057157	117113661	-1	33.2088092895763
CD59	chr11	33719807	33757991	-1	41.3360341529395
CD5L	chr1	157800704	157868046	-1	0
